Key,Mean(Pause),Std(Pause),Min(Pause),Max(Pause),Mean(Duration),Std(Duration),Min(Duration),Max(Duration)
Key_1,225.67383524904216,154.0931139669967,0.0,1006.172,99.50685440613027,22.04592398838837,6.005,170.696
Key_2,269371.7971698113,277433.64968361193,0.0,2549883.0,102382.71226415095,21794.654413459364,38011.0,195036.0
Key_3,257212.51583710406,273153.71752485976,0.0,2831048.0,112487.43891402715,25603.43703617875,3975.0,185015.0
Key_4,246084.66834170854,235292.72430564504,0.0,2153818.0,107759.61306532663,20744.14607716446,34017.0,174032.0
Key_5,226125.89119170984,169442.58330286242,0.0,837010.0,111791.86528497409,23608.50387864524,61993.0,188995.0
